id,name,rating
2259,The House of the Spirits,2
7984,In the Name of the Father,3
6,Judgment Night,3
329,Jurassic Park,3
507,Killing Zoe,3
1413,M. Butterfly,3
2246,Malice,2
2320,Executive Decision,3
5879,愛のコリーダ,2
2625,Mr. Jones,2
788,Mrs. Doubtfire,2
713,The Piano,3
8291,Poetic Justice,3
1245,The Remains of the Day,3
7007,Rising Sun,3
5550,RoboCop 3,2
2088,Romeo Is Bleeding,2
424,Schindler's List,2
103413,Second Best,3
8850,The Shadow,3
695,Short Cuts,3
858,Sleepless in Seattle,4
867,Sliver,2
78,Blade Runner,3
319,True Romance,3
32562,The Celluloid Closet,3
124304,De eso no se habla,3
771,Home Alone,2
251,Ghost,3
812,Aladdin,2
280,Terminator 2: Judgment Day,3
581,Dances with Wolves,4
80350,Tough and Deadly,1
268,Batman,3
274,The Silence of the Lambs,3
408,Snow White and the Seven Dwarfs,3
114,Pretty Woman,3
576,The Wild Bunch,2
7300,One Fine Day,3
275,Fargo,2
8766,Hellraiser: Bloodline,3
4307,La flor de mi secreto,3
1592,Primal Fear,2
38884,Land and Freedom,3
2021,Jack & Sarah,3
954,Mission: Impossible,4
8840,DragonHeart,3
5801,পথের পাঁচালী,3
896,অপুর সংসার,3
3065,Mystery Science Theater 3000: The Movie,3
2300,Space Jam,3
8069,Barbarella,3
27768,Some Folks Call It a Sling Blade,3
33245,It's My Party,3
38867,Delta of Venus,3
753,Faces,3
8866,The Truth About Cats & Dogs,3
922,Dead Man,4
73183,"The Haunted World of Edward D. Wood, Jr.",3
664,Twister,2
532,A Close Shave,3
26744,Force of Evil,3
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,3
7095,Jack,3
627,Trainspotting,3
602,Independence Day,4
81949,Un été inoubliable,2
1645,A Time to Kill,3
34170,Larger Than Life,2
4837,La Collectionneuse,2
2925,The First Wives Club,3
3595,Ransom,2
3573,Emma,1
144982,The Big Squeeze,2
47907,The Spitfire Grill,3
549,Basquiat,3
238,The Godfather,3
159,Der bewegte Mann,3
58770,The Trigger Effect,0
124851,Sweet Nothing,4
3587,Bogus,2
981,The Philadelphia Story,2
872,Singin' in the Rain,2
2769,An American in Paris,3
164,Breakfast at Tiffany's,3
426,Vertigo,3
567,Rear Window,3
3078,It Happened One Night,3
213,North by Northwest,4
284,The Apartment,2
239,Some Like It Hot,3
4808,Charade,3
289,Casablanca,3
963,The Maltese Falcon,3
6620,Sabrina,3
804,Roman Holiday,3
909,Meet Me in St. Louis,4
630,The Wizard of Oz,3
770,Gone with the Wind,2
599,Sunset Boulevard,3
15,Citizen Kane,2
62,2001: A Space Odyssey,3
705,All About Eve,3
223,Rebecca,3
303,Notorious,3
4174,Spellbound,3
381,To Catch a Thief,3
1859,Ninotchka,3
1939,Laura,4
3598,Lost Horizon,3
3080,Top Hat,4
198,To Be or Not to Be,3
220,East of Eden,2
3529,The Thin Man,3
3085,His Girl Friday,3
2897,Around the World in Eighty Days,3
1585,It's a Wonderful Life,3
3083,Mr. Smith Goes to Washington,4
900,Bringing Up Baby,3
26378,They Made Me a Criminal,3
260,The 39 Steps,4
488,The African Queen,3
261,Cat on a Hot Tin Roof,3
125587,Nothing Personal,3
890,Schlafes Bruder,3
1770,Michael Collins,3
2033,Infinity,3
25739,L'associé,3
6346,The Chamber,3
173,"20,000 Leagues Under the Sea",2
864,Cool Runnings,2
8367,Robin Hood: Prince of Thieves,2
433,Mary Poppins,2
562,Die Hard,3
454,Romeo + Juliet,3
819,Sleepers,3
1834,"Murder, My Sweet",3
26282,Macao,3
252,Willy Wonka & the Chocolate Factory,3
623,A Fish Called Wanda,2
583,Life of Brian,3
475,Bonnie and Clyde,3
521,Dial M for Murder,3
88,Dirty Dancing,3
500,Reservoir Dogs,3
792,Platoon,3
8491,Weekend at Bernie's,3
402,Basic Instinct,2
601,E.T. the Extra-Terrestrial,3
67365,The Search for One-eye Jimmy,2
25842,A Christmas Carol,3
2119,Days of Thunder,2
744,Top Gun,2
136311,American Strays,3
702,A Streetcar Named Desire,3
25750,Children of the Corn IV: The Gathering,3
1630,The People vs. Larry Flynt,2
124837,A Perfect Candidate,4
2756,The Abyss,2
790,The Fog,3
1103,Escape from New York,3
4480,Jean de Florette,2
4481,Manon des Sources,3
49688,Johnny cien pesos,3
762,Monty Python and the Holy Grail,2
531,The Wrong Trousers,3
4483,Le Retour de Martin Guerre,2
26167,Raw Deal,2
26174,T-Men,3
659,Die Blechtrommel,3
30892,The Ruling Class,3
892,Delicatessen,3
1600,La double vie de Véronique,2
26561,Enchanted April,3
975,Paths of Glory,2
409,The English Patient,3
1412,"Sex, Lies, and Videotape",3
2469,¡Átame!,3
31225,Paris is Burning,3
510,One Flew Over the Cuckoo's Nest,2
1891,The Empire Strikes Back,2
2493,The Princess Bride,3
85,Raiders of the Lost Ark,3
68,Brazil,3
679,Aliens,3
429,"Il buono, il brutto, il cattivo",2
389,12 Angry Men,3
947,Lawrence of Arabia,4
185,A Clockwork Orange,3
595,To Kill a Mockingbird,3
28,Apocalypse Now,3
335,C'era una volta il West,3
1892,Return of the Jedi,3
144,Der Himmel über Berlin,3
1092,The Third Man,3
769,GoodFellas,3
348,Alien,3
766,Army of Darkness,3
175,Le Grand Bleu,3
539,Psycho,3
525,The Blues Brothers,3
240,The Godfather: Part II,2
600,Full Metal Jacket,2
530,A Grand Day Out,3
279,Amadeus,3
3109,The Quiet Man,3
311,Once Upon a Time in America,2
1578,Raging Bull,2
703,Annie Hall,2
1398,Сталкер,2
387,Das Boot,2
343,Harold and Maude,2
490,Det sjunde inseglet,3
218,The Terminator,3
763,Braindead,2
696,Manhattan,3
379,Miller's Crossing,2
207,Dead Poets Society,3
1480,Touch of Evil,3
826,The Bridge on the River Kwai,2
422,8½,3
829,Chinatown,2
828,The Day the Earth Stood Still,3
3090,The Treasure of the Sierra Madre,4
3063,Duck Soup,2
694,The Shining,3
235,Stand by Me,3
832,M,3
765,Evil Dead II,3
5925,The Great Escape,2
4485,Diva,2
137,Groundhog Day,3
33,Unforgiven,3
982,The Manchurian Candidate,3
212,Arsenic and Old Lace,2
105,Back to the Future,3
1633,Fried Green Tomatoes,3
1554,Down by Law,3
149,アキラ,3
8009,Highlander,3
903,Cool Hand Luke,4
3034,Young Frankenstein,3
339,Night on Earth,3
914,The Great Dictator,3
756,Fantasia,3
288,High Noon,3
910,The Big Sleep,4
2640,Heathers,3
665,Ben-Hur,3
89,Indiana Jones and the Last Crusade,3
783,Gandhi,3
625,The Killing Fields,3
8816,Mitt liv som hund,3
830,Forbidden Planet,3
2323,Field of Dreams,3
983,The Man Who Would Be King,2
642,Butch Cassidy and the Sundance Kid,2
655,"Paris, Texas",1
639,When Harry Met Sally...,2
814,An American Werewolf in London,3
25944,Blood for Dracula,3
32076,The Believers,2
571,The Birds,3
8851,The Blob,3
6114,Dracula,2
229,Bride of Frankenstein,3
1598,Cape Fear,2
7340,Carrie,3
6217,Cat People,3
377,A Nightmare on Elm Street,3
653,"Nosferatu, eine Symphonie des Grauens",3
794,The Omen,3
8744,Albino Alligator,3
145,Breaking the Waves,3
2212,Nightwatch,3
199,Star Trek: First Contact,3
64900,J'ai pas sommeil,3
1573,Die Hard 2,3
152,Star Trek: The Motion Picture,3
174,Star Trek VI: The Undiscovered Country,2
172,Star Trek V: The Final Frontier,2
154,Star Trek II: The Wrath of Khan,3
157,Star Trek III: The Search for Spock,2
168,Star Trek IV: The Voyage Home,3
364,Batman Returns,3
621,Grease,3
55687,Adrenalin: Fear the Rush,3
8845,Under Siege,3
579,Jaws 2,3
75,Mars Attacks!,2
378,Raising Arizona,3
2322,Sneakers,2
26949,In Love and War,2
3179,Beavis and Butt-Head Do America,3
4232,Scream,2
2928,Michael,3
8818,Evita,2
34314,Turbulence,3
2892,Angel Baby,2
8860,Metro,3
31000,Amos & Andrew,2
4104,Benny & Joon,2
26306,Prefontaine,3
784,Kolja,2
1968,Fools Rush In,3
66,Absolute Power,2
638,Lost Highway,3
884,Crash,5
1624,Liar Liar,2
88423,The Quiet Room,1
4477,The Devil's Own,2
6499,Turbo: A Power Rangers Movie,3
93946,Hollow Reed,3
816,Austin Powers: International Man of Mystery,3
2163,Breakdown,2
18,The Fifth Element,3
1811,Nowhere,3
2058,Addicted to Love,3
330,The Lost World: Jurassic Park,2
33660,Shiloh,3
1701,Con Air,3
26422,The Pillow Book,3
1639,Speed 2: Cruise Control,3
107743,Wedding Bell Blues,3
415,Batman & Robin,2
8874,My Best Friend's Wedding,3
266,Le Mépris,3
754,Face/Off,2
607,Men in Black,3
4421,G.I. Jane,2
2142,Cop Land,3
8834,Conspiracy Theory,2
8854,Steel,3
4961,Mimic,3
26180,Excess Baggage,3
6072,One Eight Seven,3
1669,The Hunt for Red October,3
468,My Own Private Idaho,3
108401,Star Maps,3
6623,The Peacemaker,3
2118,L.A. Confidential,3
56651,Kicked in the Head,3
2649,The Game,3
2255,Chasing Amy,2
3597,I Know What You Did Last Summer,2
782,Gattaca,2
1959,Swept from the Sea,3
1281,Bean,4
4995,Boogie Nights,3
45928,Incognito,3
563,Starship Troopers,3
31535,Chairman of the Board,2
4824,The Jackal,3
2895,The Apostle,3
2639,Deconstructing Harry,2
489,Good Will Hunting,2
167738,Guy,3
8197,Midnight in the Garden of Good and Evil,4
6283,MouseHunt,3
4233,Scream 2,2
597,Titanic,3
714,Tomorrow Never Dies,3
62394,The Education of Little Tree,2
547,The Horse Whisperer,2
25994,The Winter Guest,3
184,Jackie Brown,2
115,The Big Lebowski,3
26941,Afterglow,3
27103,Ma vie en rose,2
32302,3 Ninjas: High Noon at Mega Mountain,2
586,Wag the Dog,3
2666,Dark City,2
6116,Spice World,3
2923,B. Monkey,3
30949,Palmetto,3
2898,As Good as It Gets,2
26269,Twilight,3
6970,Welcome to Woop Woop,3
47452,Love and Death on Long Island,2
617,Wild Things,3
5910,はなび,1
32456,Two Girls and a Guy,3
1774,The Big One,2
2157,Lost in Space,3
8838,Mercury Rising,3
795,City of Angels,2
27472,The Odd Couple II,3
98499,Illtown,2
267,Carne trémula,2
73135,Ratchet,3
6264,Prince Valiant,2
4415,Les Misérables,3
8656,Deep Impact,4
929,Godzilla,3
1878,Fear and Loathing in Las Vegas,2
26610,Insomnia,0
1965,A Perfect Murder,3
312,Jenseits der Stille,2
6068,Six Days Seven Nights,3
846,The X Files,3
3050,Doctor Dolittle,2
1389,Out of Sight,1
95,Armageddon,3
944,Lethal Weapon 4,3
473,Pi,2
544,There's Something About Mary,2
143,All Quiet on the Western Front,2
887,The Best Years of Our Lives,3
654,On the Waterfront,2
1725,West Side Story,3
5769,Tom Jones,3
874,A Man for All Seasons,2
3116,Midnight Cowboy,3
1051,The French Connection,3
1366,Rocky,3
606,Out of Africa,2
746,The Last Emperor,3
380,Rain Man,3
403,Driving Miss Daisy,4
466,Klute,2
2108,The Breakfast Club,3
4488,Friday the 13th,3
948,Halloween,3
41828,Prom Night III: The Last Kiss,3
41769,Prom Night IV: Deliver Us from Evil,3
609,Poltergeist,3
941,Lethal Weapon,3
942,Lethal Weapon 2,3
943,Lethal Weapon 3,3
927,Gremlins,3
928,Gremlins 2: The New Batch,4
19,Metropolis,2
165,Back to the Future Part II,3
196,Back to the Future Part III,2
551,The Poseidon Adventure,3
3170,Bambi,3
346,七人の侍,3
859,Dangerous Liaisons,1
841,Dune,3
242,The Godfather: Part III,3
1411,The Rapture,3
857,Saving Private Ryan,2
1779,Roger & Me,2
678,Out of the Past,4
907,Doctor Zhivago,3
5961,Fanny och Alexander,2
2887,And the Band Played On,1
793,Blue Velvet,2
2619,Splash,3
27332,Tex,3
97,Tron,3
2107,L.A. Story,2
6471,The Jerk,3
227,The Outsiders,3
87,Indiana Jones and the Temple of Doom,2
123,The Lord of the Rings,4
2907,The Addams Family,2
8688,Snake Eyes,2
396,Who's Afraid of Virginia Woolf?,3
4978,An American Tail,3
8393,The Gods Must Be Crazy,2
33644,How Stella Got Her Groove Back,2
805,Rosemary's Baby,3
2182,Attack of the Killer Tomatoes!,3
4011,Beetlejuice,4
1580,Rope,3
5854,Family Plot,3
573,Frenzy,3
2370,Topaz,3
5780,Torn Curtain,3
506,Marnie,3
574,The Man Who Knew Too Much,3
845,Strangers on a Train,1
1978,Stage Fright,2
3682,54,3
46748,Regarde la Mer,3
847,Willow,2
117,The Untouchables,3
59138,Modulations,2
4175,Under Capricorn,3
940,The Lady Vanishes,3
2762,Young and Innocent,4
2761,Secret Agent,3
8208,The Man Who Knew Too Much,3
31930,Murder!,3
543,Blackmail,3
36056,The Ring,3
2760,The Lodger: A Story of the London Fog,3
431,Cube,3
84116,"Grandview, U.S.A.",4
3525,Working Girl,3
2321,Married to the Mob,3
2028,Say Anything...,4
5971,We're No Angels,4
881,A Few Good Men,2
4478,Indecent Proposal,3
2109,Rush Hour,3
8195,Ronin,3
3486,The Fiendish Plot of Dr. Fu Manchu,2
1091,The Thing,2
162,Edward Scissorhands,3
8916,Antz,3
3121,Nashville,3
4975,Love Is the Devil: Study for a Portrait of Francis Bacon,3
134368,One Tough Cop,3
1039,Die Siebtelbauern,2
4437,2010,3
1890,Children of a Lesser God,3
1955,The Elephant Man,3
6435,Practical Magic,3
2657,Pleasantville,3
637,La vita è bella,2
8675,Orgazmo,3
73,American History X,3
3033,Gods and Monsters,3
4518,Elizabeth,2
3600,I Still Know What You Did Last Summer,2
297,Meet Joe Black,2
5332,Dancing at Lughnasa,3
8336,The Naked Man,3
666,Central do Brasil,3
2042,Savior,2
309,Festen,3
692,Pink Flamingos,2
1678,ゴジラ,3
1680,Kingu Kongu tai Gojira,3
244,King Kong,2
8130,Desperately Seeking Susan,2
707,A View to a Kill,3
200,Star Trek: Insurrection,2
1934,Shakespeare in Love,3
8879,Pale Rider,3
1369,Rambo: First Blood Part II,2
1368,First Blood,1
1370,Rambo III,3
1367,Rocky II,3
1371,Rocky III,3
1374,Rocky IV,3
1375,Rocky V,3
1885,The Karate Kid,3
8856,"The Karate Kid, Part II",2
5825,National Lampoon's Christmas Vacation,3
8741,The Thin Red Line,2
1363,The Hi-Lo Country,3
825,Playing by Heart,3
6917,The Gate,4
2620,Armed and Dangerous,3
192,The Name of the Rose,2
8388,¡Three Amigos!,3
6187,Nettoyage à sec,3
8129,My Name Is Joe,2
2112,Payback,3
1542,Office Space,3
8224,8MM,4
26425,Just the Ticket,3
8913,Pet Sematary,2
25748,Children of the Corn II: The Final Sacrifice,4
8769,Christine,3
7227,Airport '77,3
5919,The Towering Inferno,3
2362,Westworld,2
871,Planet of the Apes,2
1685,Beneath the Planet of the Apes,3
1705,Battle for the Planet of the Apes,2
1688,Conquest of the Planet of the Apes,3
1687,Escape from the Planet of the Apes,3
796,Cruel Intentions,2
100,"Lock, Stock and Two Smoking Barrels",3
47501,Six Ways to Sunday,4
7341,The Rage: Carrie 2,2
1567,Seul contre tous,3
1641,Forces of Nature,3
8583,Dangerous Beauty,2
603,The Matrix,2
4951,10 Things I Hate About You,3
8970,The Out-of-Towners,3
70687,The Sticky Fingers of Time,3
27455,Foolish,3
1414,Los amantes del círculo polar,3
6522,Life,3
114719,Friends & Lovers,1
1902,Abre los ojos,3
6396,SLC Punk,2
1946,eXistenZ,3
1844,Entrapment,3
6552,Idle Hands,3
4154,Three Seasons,3
3309,Mildred Pierce,3
8592,Dick Tracy,3
564,The Mummy,2
4927,Edge of Seventeen,3
1893,Star Wars: Episode I - The Phantom Menace,3
8785,Rekopis znaleziony w Saragossie,3
31498,The Mummy's Hand,3
1924,Superman,2
138,Dracula,2
30793,House of Dracula,3
3103,House of Frankenstein,3
3035,Frankenstein,4
3077,Son of Frankenstein,4
3074,The Ghost of Frankenstein,3
3076,Frankenstein Meets the Wolf Man,3
3079,The Curse of Frankenstein,3
43391,The Flying Saucer,2
8974,The War of the Worlds,3
509,Notting Hill,3
1090,The Thirteenth Floor,3
2275,The General's Daughter,3
104,Lola rennt,3
55955,My Son the Fanatic,2
6488,Arachnophobia,3
8487,Wild Wild West,3
2767,Les Amants du Pont-Neuf,3
2105,American Pie,3
1073,Arlington Road,3
2667,The Blair Witch Project,3
345,Eyes Wide Shut,3
620,Ghostbusters,3
2978,Ghostbusters II,2
332,Inspector Gadget,2
1812,Trick,3
8914,Deep Blue Sea,3
4806,Runaway Bride,3
247,The Killing,3
967,Spartacus,2
802,Lolita,3
3175,Barry Lyndon,3
147,Les Quatre Cents Coups,3
1628,Jules et Jim,2
32060,Brighton Beach Memoirs,2
873,The Color Purple,0
48660,The Kindred,3
3934,Tenue de soirée,2
2115,Light of Day,3
3526,Frances,3
745,The Sixth Sense,4
913,The Thomas Crown Affair,4
912,The Thomas Crown Affair,4
813,Airplane!,2
2665,Airplane II: The Sequel,2
2280,Big,3
850,A Christmas Story,3
126152,With Friends Like These...,1
2038,Iron Eagle III,2
1911,The 13th Warrior,2
2900,The Astronaut's Wife,2
6373,"Martha – Meet Frank, Daniel and Laurence",3
2162,Chill Factor,2
4338,I Woke Up Early The Day I Died,3
1075,"Crna mačka, beli mačor",3
43832,Only Angels Have Wings,3
14,American Beauty,3
704,A Hard Day's Night,2
1049,Sommersby,3
2290,Jakob the Liar,3
6415,Three Kings,3
5622,E la nave va,3
42518,Gulliver's Travels,3
226,Boys Don't Cry,2
861,Total Recall,3
2457,Les Enfants du Paradis,3
4929,Hang 'em High,2
851,Brief Encounter,3
2593,Le Feu Follet,3
3086,The Lady Eve,3
3767,Gilda,2
535,Flashdance,3
2731,Indochine,4
1654,The Dirty Dozen,3
658,Goldfinger,2
657,From Russia with Love,1
5689,The Blue Lagoon,3
391,Per un pugno di dollari,3
772,Home Alone 2: Lost in New York,2
550,Fight Club,3
1610,Fever Pitch,3
404,The Straight Story,3
8649,Bringing Out the Dead,3
5548,RoboCop,2
5549,RoboCop 2,2
856,Who Framed Roger Rabbit,3
699,For Your Eyes Only,2
709,Licence to Kill,3
253,Live and Let Die,3
660,Thunderball,2
492,Being John Malkovich,3
128,もののけ姫,3
8672,Mein liebster Feind,3
8056,Train de vie,3
2020,The Bachelor,3
9008,The Insider,3
1694,Re-Animator,3
476,Drugstore Cowboy,3
961,The General,3
957,Spaceballs,3
37853,Mister Roberts,2
1621,Trading Places,3
1832,Dogma,2
124853,Ten Benny,3
4203,Mujeres al borde de un ataque de nervios,2
2039,Moonstruck,2
2690,Irma la Douce,3
2668,Sleepy Hollow,2
99,Todo sobre mi madre,3
25898,Babes in Toyland,3
5156,Ladri di biciclette,3
26371,Maurice,3
596,The Grapes of Wrath,3
293,A River Runs Through It,4
9013,Midnight Run,3
2924,Backdraft,3
177,The Fisher King,2
5486,Reazione a catena,2
1718,Santa Fe Trail,3
777,La Grande Illusion,3
5652,The James Dean Story,2
497,The Green Mile,3
1715,The Cider House Rules,2
1439,Anna and the King,2
2277,Bicentennial Man,2
334,Magnolia,3
624,Easy Rider,2
26578,The Falcon and the Snowman,3
1850,Man on the Moon,2
926,Galaxy Quest,4
1213,The Talented Mr. Ripley,4
3558,"Girl, Interrupted",3
71067,Tess of the Storm Country,2
632,Stalag 17,4
5924,Papillon,2
26617,Five Easy Pieces,3
4460,The Snows of Kilimanjaro,3
2990,Pacific Heights,3
32600,Seven Chances,3
32015,Soy Cuba,3
1883,Malcolm X,3
2005,Sister Act,3
6279,Sister Act 2: Back in the Habit,3
7305,Alive,3
8872,Wayne's World,2
8873,Wayne's World 2,3
619,The Bodyguard,2
8293,Howards End,3
1923,Twin Peaks: Fire Walk with Me,3
4234,Scream 3,3
8374,The Boondock Saints,3
27841,They Might Be Giants,2
1907,The Beach,3
25934,"To Sir, with Love",3
2787,Pitch Black,2
2069,The Whole Nine Yards,3
79515,Black Tar Heroin: The Dark End of the Street,2
901,City Lights,3
2155,Reindeer Games,3
139,Mifunes sidste sang,3
1831,The Next Best Thing,2
4816,Ghost Dog: The Way of the Samurai,3
2193,My Tutor,3
2067,Mission to Mars,3
5693,Hoosiers,3
287,Bull Durham,3
968,Dog Day Afternoon,3
838,American Graffiti,3
3114,The Searchers,3
26928,Buck and the Preacher,3
820,JFK,2
8989,Harry and the Hendersons,3
32031,Let's Get Harry,3
26827,Who's That Girl,3
918,Blind Date,3
462,Erin Brockovich,2
2383,L'Ours,1
1396,Зеркало,3
1541,Thelma & Louise,3
8469,Animal House,3
925,Do the Right Thing,3
1713,Jungle Fever,3
26170,Coogan's Bluff,3
26263,Death Wish 4: The Crackdown,2
996,Double Indemnity,3
1496,Cool as Ice,3
1498,Teenage Mutant Ninja Turtles,3
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,2
1499,Teenage Mutant Ninja Turtles III,2
1880,Red Dawn,3
801,"Good Morning, Vietnam",3
1879,Guess Who's Coming to Dinner,3
2085,Romeo Must Die,3
3082,Modern Times,3
2102,Solar Crisis,3
990,The Hustler,2
1908,Inherit the Wind,3
840,Close Encounters of the Third Kind,2
26689,Retroactive,3
2291,Jacob's Ladder,3
526,Ladyhawke,3
243,High Fidelity,2
6644,El Dorado,3
879,Hook,2
1793,Max Dugan Returns,3
593,Солярис,4
2621,Return to Me,3
2006,"Bell, Book and Candle",3
1552,Parenthood,3
106,Predator,3
61560,Smoking / No Smoking,3
1359,American Psycho,2
4967,Keeping the Faith,3
26291,Shakes the Clown,3
27857,Prick Up Your Ears,3
4825,Guys and Dolls,4
3536,U-571,3
1443,The Virgin Suicides,1
80677,La Legge,3
889,The Flintstones in Viva Rock Vegas,3
125537,Smiling Fish & Goat On Fire,2
452,Idioterne,3
5241,Two Moon Junction,3
98,Gladiator,2
1058,Breathless,3
5608,"Die Nibelungen, Teil 1: Siegfried",3
5491,Battlefield Earth,3
5683,Pee-wee's Big Adventure,4
2094,Roustabout,3
955,Mission: Impossible II,4
8584,Shanghai Noon,3
962,The Gold Rush,3
5483,Lisa e il diavolo,3
668,On Her Majesty's Secret Service,4
691,The Spy Who Loved Me,3
31353,Ceux qui m'aiment prendront le train,3
698,Moonraker,3
682,The Man with the Golden Gun,3
499,Cléo de cinq à sept,2
2768,American Gigolo,2
42002,Angustia,3
21,The Endless Summer,3
38688,Pandora and the Flying Dutchman,2
26954,Puppet Master II,3
26958,Puppet Master 5: The Final Chapter,2
6003,Romeo and Juliet,3
985,Eraserhead,2
541,The Man with the Golden Arm,4
938,Per qualche dollaro in più,3
2075,Prizzi's Honor,3
1551,Flatliners,2
26554,Class of Nuke 'Em High,3
169,Predator 2,2
865,The Running Man,2
26889,The Brother from Another Planet,3
8810,Mad Max 2,2
1727,Bird on a Wire,3
635,Angel Heart,3
31610,Trixie,3
482,Shaft,3
592,The Conversation,3
5121,The Sugarland Express,4
195,Trouble in Paradise,3
6978,Big Trouble in Little China,3
3133,Badlands,3
643,Броненосец «Потёмкин»,1
479,Shaft,2
7450,Titan A.E.,3
7443,Chicken Run,3
2123,"Me, Myself & Irene",3
2024,The Patriot,3
2133,The Perfect Storm,3
25993,Asylum,2
46929,Fun & Fancy Free,2
26270,Project Moon Base,3
37744,Rocketship X-M,3
494,Shaft in Africa,3
493,Shaft's Big Score!,3
4244,The Kid,2
4247,Scary Movie,2
1050,Xizao,3
1052,Blow-Up,3
1788,Footloose,3
1448,The Wisdom of Crocodiles,3
2655,What Lies Beneath,2
93,Anatomy of a Murder,2
6282,Coyote Ugly,3
5551,Space Cowboys,2
2360,Saving Grace,4
8420,Et Dieu… créa la femme,2
2211,Aimee & Jaguar,3
8843,The Cell,2
3110,Shane,3
26865,X: The Unknown,3
1588,Bring It On,2
1698,Anatomie,3
1619,The Way of the Gun,3
786,Almost Famous,3
77332,Urbania,3
16,Dancer in the Dark,3
34299,Beautiful,3
9003,Hellraiser,3
26484,Beach Party,2
469,Stranger Than Paradise,3
2160,Voyage to the Bottom of the Sea,3
2161,Fantastic Voyage,3
3073,Bud Abbott Lou Costello Meet Frankenstein,3
911,The Bank Dick,4
27764,Slumber Party Massacre II,3
1485,Get Carter,3
1597,Meet the Parents,3
641,Requiem for a Dream,2
6521,The Contender,2
78140,Billy Jack Goes to Washington,4
2134,The Time Machine,3
27033,The Strange Love of Martha Ivers,4
71,Billy Elliot,2
1636,Bedazzled,2
4327,Charlie's Angels,3
4958,The Legend of Bagger Vance,3
8870,Red Planet,2
681,Diamonds Are Forever,3
8452,The 6th Day,2
8871,How the Grinch Stole Christmas,2
34045,One Day in September,3
79920,Boys Life 3,4
146,卧虎藏龙,2
2669,The Bounty,3
2609,"Planes, Trains and Automobiles",4
708,The Living Daylights,3
1857,The Transformers: The Movie,2
2604,Born on the Fourth of July,1
107,Snatch,3
392,Chocolat,3
8859,"Dude, Where’s My Car?",1
3981,What Women Want,2
